"","Genus","genus_size","mass_g","gestation_mo","newborn_g","weaning_mo","wean_g","afr_mo","life_mo","litter_size","litters_per_year"
"1","Abrocoma",2,278.5,3.78,12.25,NA,NA,NA,28,2.4,2
"2","Acinonyx",1,58750,3.35,403.96,3.67,1940,25.41,228,3.04,0.65
"3","Acomys",4,39.8933333333333,1.225,6.385,0.81,11.29,2.51,60,2.485,3.5
"4","Addax",1,182375,9.39,5480,6.5,NA,27.27,308,1,0.99
"5","Aepyceros",1,41480,6.35,5093,5.63,15900,16.66,213,1,0.95
"6","Aethomys",4,107.7775,0.85,4.35,0.883333333333333,30.3566666666667,3.77,NA,2.9575,2
"7","Agouti",1,9000,3.77,682.4,2.41,NA,10.5,192,1.26,1.5
"8","Ailuropoda",1,111600,4.31,109.29,6.7,15000,77.26,408,1.54,0.7
"9","Ailurus",1,4325,4.3,120.17,4,1140,19.51,210,2.02,1
"10","Akodon",9,36.54,0.78,2.875,0.68,NA,3.5275,NA,3.93666666666667,2.4
"11","Alcelaphus",1,150000,7.9,10166.67,6.5,NA,23.02,240,1,NA
"12","Alces",1,351000,7.95,13018.18,3.8,94000,23.38,324,1.29,0.77
"13","Allactaga",4,66.0175,NA,NA,1.09,NA,4.67,50,4.775,1.5
"14","Allenopithecus",1,3301.67,NA,221,2.5,NA,NA,276,1,NA
"15","Allocricetulus",1,NA,NA,NA,NA,NA,NA,NA,NA,2
"16","Alopex",1,4500,1.75,71.04,1.67,NA,9.94,194,8.12,0.92
"17","Alouatta",4,7041.8575,6.2625,332.8125,10.98,1100,46.2566666666667,240,1.05,0.79
"18","Alticola",3,40.9,0.67,3,0.57,15,NA,NA,5.2,2.35
"19","Amblonyx",1,3000,2.07,57,2.67,NA,NA,192,1.42,2
"20","Amblysomus",1,64.8,NA,4.5,NA,NA,NA,NA,2,NA
"21","Ammodorcas",1,28500,6.8,NA,NA,NA,NA,NA,1,NA
"22","Ammospermophilus",4,122.05,0.96,4.01333333333333,1.945,43.375,11.25,69,8.215,1.0825
"23","Ammotragus",1,55500,5.08,3810,4,NA,14.89,251,1.37,2
"24","Anomalurus",3,936.333333333333,NA,NA,NA,NA,NA,NA,1.39,2
"25","Antidorcas",1,30000,5.72,3910,4.04,NA,10.23,228,1,NA
"26","Antilocapra",1,45375,8.13,3246.36,3,8900,13.53,142,1.85,1
"27","Antilope",1,37500,5.5,3846,2.13,NA,20.13,255,1,1.89
"28","Aonyx",2,17900,2.1,1050,1.75,3360,13.1,168,2.56,NA
"29","Aotus",3,979.186666666667,4.55,94.59,4.44666666666667,360,29.46,324,1.04,1
"30","Aplodontia",1,687,0.98,23.58,1.75,392.52,23.45,72,3.14,1
"31","Apodemus",7,30.546,0.775,2.16,0.7925,8.7,2.1275,48,4.92428571428571,2.95
"32","Arborimus",3,27.3333333333333,1.15,2.57,1.01,21,NA,NA,2.29,NA
"33","Arctictis",1,12250,2.74,316.38,2.59,2100,30.34,311,2.63,2
"34","Arctocebus",1,314.14,4.46,29.69,3.69,160,10.36,156,1,1.5
"35","Arctocephalus",6,49194.445,8.73666666666667,4654.25833333333,10.7366666666667,18983.3333333333,42.906,279,1,0.916666666666667
"36","Arctogalidia",1,2250,1.5,NA,2,NA,36,193,2.5,2
"37","Arctonyx",1,10500,1.5,58,3.42,NA,NA,NA,3.5,NA
"38","Arvicanthis",1,64.5,0.73,4.15,0.75,21.67,1.82,NA,5.03,3.5
"39","Arvicola",2,153.75,0.72,5.93,0.51,42,1.69,60,5.04,3.22
"40","Atelerix",3,462.666666666667,1.25333333333333,9.205,1.31666666666667,NA,7.385,NA,4.73666666666667,1.25
"41","Ateles",4,6796.6,6.72,381.39,20.84,2895,61.1166666666667,408,1,0.44
"42","Atelocynus",1,9500,NA,NA,NA,NA,NA,132,NA,NA
"43","Atherurus",2,2590,3.5,148.13,NA,NA,NA,275,1.585,2.5
"44","Atilax",1,3300,2.49,100.23,1.43,631.85,NA,228,2.42,NA
"45","Auliscomys",1,72.6,NA,NA,NA,NA,2,NA,NA,NA
"46","Avahi",1,1094.43,4.5,NA,5.33,NA,30.96,NA,1,1
"47","Axis",2,44250,7.585,2871.75,5,NA,11.32,244.5,1.02,NA
"48","Babyrousa",1,1e+05,5.16,715,7,NA,18,288,1.4,2
"49","Baiomys",1,7.83,0.74,1.16,0.68,3.59,1.95,43,2.67,NA
"50","Balaena",1,8e+07,12.37,NA,11.25,NA,210,1200,1,0.29
"51","Balaenoptera",5,53366666.668,11.108,1583333.33333333,7.028,19075000,88.634,1000.8,1.008,0.544
"52","Bandicota",2,355.835,0.665,7.21,0.945,31.95,5.495,NA,7.7,5.9
